Ticker;Industry
ACT.CO;Software - Application
AGAT.CO;Real Estate Services
AGF-B.CO;Entertainment
AGILC.CO;Software - Application
ALEFRM.CO;Beverages - Brewers
ALK-B.CO;Biotechnology
ALMB.CO;Insurance - Diversified
AMBU-B.CO;Medical Devices
AOJ-B.CO;Industrial Distribution
AQP.CO;Utilities - Regulated Water
ASTK.CO;Computer Hardware
ATLA-DKK.CO;Oil & Gas Exploration & Production
BACTIQ.CO;Pollution & Treatment Controls
BAVA.CO;Biotechnology
BETCO.DKK.CO;Computer Programming, Data Processing, And Other Computer Related Services
BIF.CO;Entertainment
BIOPOR.CO;Diagnostics & Research
BO.CO;Consumer Electronics
BOOZT.DKK.CO;Apparel Retail
BRAINP.CO;Health Information Services
CARL-A.CO;Beverages - Brewers
CARL-B.CO;Beverages - Brewers
CBRAIN.CO;Software - Application
CEMAT.CO;Real Estate Services
CHEMM.CO;Medical Devices
COLO-B.CO;Medical Instruments & Supplies
COLUM.CO;Information Technology Services
CONFRZ.CO;Software - Application
CPHCAP-ST.CO;Real Estate Services
DAB.CO;Banks - Regional
DAC.CO;Aerospace & Defense
DANSKE.CO;Banks - Regional
DANT.CO;Consumer Electronics
DATA.CO;Information Technology Services
DEMANT.CO;Medical Devices
DFDS.CO;Marine Shipping
DJUR.CO;Banks - Regional
DNORD.CO;Marine Shipping
DONKEY.CO;Rental & Leasing Services
DSV.CO;Integrated Freight & Logistics
EGNETY.CO;Real Estate Services
EMBLA.CO;Medical Devices
ERRIA.CO;Marine Shipping
ESG.CO;Solar
FASTPC.CO;Software - Application
FED.CO;Real Estate Services
FFARMS.CO;Farm Products
FLS.CO;Specialty Industrial Machinery
FLUG-B.CO;Specialty Chemicals
FOBANK.CO;Commercial Banks
FOM.CO;Specialty Industrial Machinery
FYNBK.CO;Banks - Regional
GABR.CO;Textile Manufacturing
GERHSP.CO;Real Estate Services
GJ.CO;Specialty Industrial Machinery
GMAB.CO;Biotechnology
GN.CO;Medical Devices
GREENH.CO;Utilities - Renewable
GREENM.CO;Rental & Leasing Services
GRLA.CO;Banks - Regional
GUBRA.CO;Biotechnology
GYLD-A.CO;Publishing
GYLD-B.CO;Publishing
HARB-B.CO;Beverages - Brewers
HH.CO;Building Materials
HLUN-A.CO;Drug Manufacturers - Specialty & Generic
HLUN-B.CO;Drug Manufacturers - Specialty & Generic
HOVE.CO;Specialty Chemicals
HRC.CO;Restaurants
HUSCO.CO;Residential Construction
HVID.CO;Banks - Regional
HYDRCT.CO;Specialty Industrial Machinery
IMPERO.CO;Software - Application
ISS.CO;Specialty Business Services
JDAN.CO;Real Estate Services
JYSK.CO;Banks - Regional
KBHL.CO;Airports & Air Services
KLEE-B.CO;Specialty Industrial Machinery
KONSOL.CO;Software - Application
KRE.CO;Banks - Regional
LASP.CO;Banks - Regional
LEDIBOND.CO;Electrical Equipment & Parts
LOLB.CO;Banks - Regional
LUXOR-B.CO;Mortgage Finance
MAERSK-A.CO;Marine Shipping
MAERSK-B.CO;Marine Shipping
MAPS.CO;Software - Infrastructure
MATAS.CO;Specialty Retail
MDUNDO.CO;Internet Content & Information
MNBA.CO;Banks - Regional
MONSO.CO;Health Information Services
MOVINN.CO;Real Estate Services
MTHH.CO;Engineering & Construction
NDA-DK.CO;Banks - Regional
NETC.CO;Information Technology Services
NEWCAP.CO;Asset Management
NEXCOM.CO;Software - Application
NKT.CO;Electrical Equipment & Parts
NLFSK.CO;Specialty Industrial Machinery
NNIT.CO;Information Technology Services
NOBLE.CO;Oil & Gas Drilling
NORTHM.CO;Publishing
NOVO-B.CO;Drug Manufacturers - General
NRDF.CO;Banks - Regional
NSIS-B.CO;Specialty Chemicals
NTG.CO;Integrated Freight & Logistics
NTR-B.CO;Electrical Equipment & Parts
OKEAC.CO;Non-operating Establishments
ORSTED.CO;Utilities - Renewable
PARKEN.CO;Entertainment
PARKST-A.CO;Real Estate Services
PEG.CO;Biotechnology
PENNEO.CO;Software - Application
PNDORA.CO;Luxury Goods
PRIMOF.CO;Real Estate - Development
PAAL-B.CO;Engineering & Construction
QINTER.CO;Scientific & Technical Instruments
RBLN-B.CO;Electrical Equipment & Parts
RBREW.CO;Beverages - Brewers
RIAS-B.CO;Building Materials
RILBA.CO;Banks - Regional
RISMA.CO;Software - Application
ROCK-A.CO;Building Products & Equipment
ROCK-B.CO;Building Products & Equipment
ROV.CO;Aerospace & Defense
RTX.CO;Communication Equipment
SAMPO.DKK.CO;Fire, Marine, and Casualty Insurance
SBS.CO;Auto Parts
SCHO.CO;Conglomerates
SHAPE.CO;Software - Application
SIF.CO;Entertainment
SIG.CO;Lumber & Wood Production
SKAKO.CO;Specialty Industrial Machinery
SKJE.CO;Banks - Regional
SMSMED.CO;Medical Devices
SOLAR-B.CO;Electronics & Computer Distribution
SPG.CO;Specialty Chemicals
SPKSJF.CO;Banks - Regional
SPNO.CO;Banks - Regional
STENO.CO;Drug Manufacturers - Specialty & Generic
STG.CO;Tobacco
STRAP.CO;Biological Products, Except Diagnostic Substances
STRINV.CO;Asset Management
SVITZR.CO;Marine Shipping
SWISS.CO;Real Estate Services
SYDB.CO;Banks - Regional
TCM.CO;Furnishings, Fixtures & Appliances
TGAMES.CO;Electronic Gaming & Multimedia
TIV.CO;Leisure
TOP.CO;Insurance - Diversified
TRIFOR.CO;Information Technology Services
TRMD-A.CO;Oil & Gas Midstream
TRYG.CO;Insurance - Diversified
UIE.CO;Farm Products
VIRO.CO;Medical Devices
VJBA.CO;Banks - Regional
VWS.CO;Specialty Industrial Machinery
WIRTEK.CO;Information Technology Services
WMA.CO;Building Products & Equipment
YOYO.CO;Software - Infrastructure
ZEAL.CO;Biotechnology
AAB.CO;Leisure
